id,product_id,feature_name,feature_value,category,is_true
1,1,Task Management,true,general,True
2,1,Kanban Boards,true,general,True
3,1,Gantt Charts,false,analytics,False
4,1,Time Tracking,false,general,False
5,1,Sprints/Scrum,false,general,False
6,1,Roadmaps,false,general,False
7,1,Automation,true,ai,True
8,1,Reporting/Analytics,false,analytics,False
9,1,Custom Workflows,true,general,True
10,1,API/Integrations,true,integration,True
11,1,Mobile App,true,mobile,True
12,1,Resource Management,false,general,False
13,1,Dependencies,true,general,True
14,1,Goals/OKRs,false,general,False
15,1,Forms,true,general,True
16,1,Guest Access,true,collaboration,True
17,1,File Sharing,true,general,True
18,1,Comments/Mentions,false,collaboration,False
19,1,Templates,true,general,True
20,1,Calendar View,true,general,True
21,2,Task Management,true,general,True
22,2,Kanban Boards,true,general,True
23,2,Gantt Charts,true,analytics,True
24,2,Time Tracking,true,general,True
25,2,Sprints/Scrum,true,general,True
26,2,Roadmaps,false,general,False
27,2,Automation,true,ai,True
28,2,Reporting/Analytics,true,analytics,True
29,2,Custom Workflows,true,general,True
30,2,API/Integrations,true,integration,True
31,2,Mobile App,false,mobile,False
32,2,Resource Management,true,general,True
33,2,Dependencies,true,general,True
34,2,Goals/OKRs,true,general,True
35,2,Forms,true,general,True
36,2,Guest Access,true,collaboration,True
37,2,File Sharing,false,general,False
38,2,Comments/Mentions,true,collaboration,True
39,2,Templates,true,general,True
40,2,Calendar View,true,general,True
41,3,Task Management,true,general,True
42,3,Kanban Boards,true,general,True
43,3,Gantt Charts,true,analytics,True
44,3,Time Tracking,true,general,True
45,3,Sprints/Scrum,false,general,False
46,3,Roadmaps,false,general,False
47,3,Automation,true,ai,True
48,3,Reporting/Analytics,true,analytics,True
49,3,Custom Workflows,true,general,True
50,3,API/Integrations,true,integration,True
51,3,Mobile App,true,mobile,True
52,3,Resource Management,true,general,True
53,3,Dependencies,false,general,False
54,3,Goals/OKRs,true,general,True
55,3,Forms,true,general,True
56,3,Guest Access,true,collaboration,True
57,3,File Sharing,false,general,False
58,3,Comments/Mentions,false,collaboration,False
59,3,Templates,true,general,True
60,3,Calendar View,true,general,True
61,4,Task Management,true,general,True
62,4,Kanban Boards,true,general,True
63,4,Gantt Charts,false,analytics,False
64,4,Time Tracking,true,general,True
65,4,Sprints/Scrum,true,general,True
66,4,Roadmaps,true,general,True
67,4,Automation,true,ai,True
68,4,Reporting/Analytics,true,analytics,True
69,4,Custom Workflows,true,general,True
70,4,API/Integrations,true,integration,True
71,4,Mobile App,false,mobile,False
72,4,Resource Management,true,general,True
73,4,Dependencies,false,general,False
74,4,Goals/OKRs,false,general,False
75,4,Forms,true,general,True
76,4,Guest Access,false,collaboration,False
77,4,File Sharing,true,general,True
78,4,Comments/Mentions,true,collaboration,True
79,4,Templates,true,general,True
80,4,Calendar View,true,general,True
81,5,Task Management,true,general,True
82,5,Kanban Boards,true,general,True
83,5,Gantt Charts,false,analytics,False
84,5,Time Tracking,false,general,False
85,5,Sprints/Scrum,false,general,False
86,5,Roadmaps,false,general,False
87,5,Automation,false,ai,False
88,5,Reporting/Analytics,false,analytics,False
89,5,Custom Workflows,true,general,True
90,5,API/Integrations,true,integration,True
91,5,Mobile App,true,mobile,True
92,5,Resource Management,false,general,False
93,5,Dependencies,false,general,False
94,5,Goals/OKRs,false,general,False
95,5,Forms,false,general,False
96,5,Guest Access,true,collaboration,True
97,5,File Sharing,true,general,True
98,5,Comments/Mentions,true,collaboration,True
99,5,Templates,true,general,True
100,5,Calendar View,true,general,True
101,6,Task Management,true,general,True
102,6,Kanban Boards,true,general,True
103,6,Gantt Charts,false,analytics,False
104,6,Time Tracking,false,general,False
105,6,Sprints/Scrum,true,general,True
106,6,Roadmaps,false,general,False
107,6,Automation,true,ai,True
108,6,Reporting/Analytics,true,analytics,True
109,6,Custom Workflows,true,general,True
110,6,API/Integrations,true,integration,True
111,6,Mobile App,false,mobile,False
112,6,Resource Management,false,general,False
113,6,Dependencies,true,general,True
114,6,Goals/OKRs,true,general,True
115,6,Forms,true,general,True
116,6,Guest Access,false,collaboration,False
117,6,File Sharing,false,general,False
118,6,Comments/Mentions,false,collaboration,False
119,6,Templates,true,general,True
120,6,Calendar View,true,general,True
121,7,Task Management,true,general,True
122,7,Kanban Boards,true,general,True
123,7,Gantt Charts,false,analytics,False
124,7,Time Tracking,false,general,False
125,7,Sprints/Scrum,false,general,False
126,7,Roadmaps,false,general,False
127,7,Automation,false,ai,False
128,7,Reporting/Analytics,true,analytics,True
129,7,Custom Workflows,true,general,True
130,7,API/Integrations,true,integration,True
131,7,Mobile App,false,mobile,False
132,7,Resource Management,false,general,False
133,7,Dependencies,false,general,False
134,7,Goals/OKRs,false,general,False
135,7,Forms,false,general,False
136,7,Guest Access,true,collaboration,True
137,7,File Sharing,true,general,True
138,7,Comments/Mentions,true,collaboration,True
139,7,Templates,false,general,False
140,7,Calendar View,true,general,True
141,8,Task Management,true,general,True
142,8,Kanban Boards,true,general,True
143,8,Gantt Charts,true,analytics,True
144,8,Time Tracking,false,general,False
145,8,Sprints/Scrum,false,general,False
146,8,Roadmaps,false,general,False
147,8,Automation,true,ai,True
148,8,Reporting/Analytics,true,analytics,True
149,8,Custom Workflows,true,general,True
150,8,API/Integrations,true,integration,True
151,8,Mobile App,true,mobile,True
152,8,Resource Management,true,general,True
153,8,Dependencies,true,general,True
154,8,Goals/OKRs,false,general,False
155,8,Forms,true,general,True
156,8,Guest Access,false,collaboration,False
157,8,File Sharing,false,general,False
158,8,Comments/Mentions,false,collaboration,False
159,8,Templates,true,general,True
160,8,Calendar View,true,general,True
161,9,Task Management,true,general,True
162,9,Kanban Boards,false,general,False
163,9,Gantt Charts,false,analytics,False
164,9,Time Tracking,true,general,True
165,9,Sprints/Scrum,false,general,False
166,9,Roadmaps,false,general,False
167,9,Automation,true,ai,True
168,9,Reporting/Analytics,true,analytics,True
169,9,Custom Workflows,true,general,True
170,9,API/Integrations,true,integration,True
171,9,Mobile App,false,mobile,False
172,9,Resource Management,true,general,True
173,9,Dependencies,false,general,False
174,9,Goals/OKRs,false,general,False
175,9,Forms,true,general,True
176,9,Guest Access,false,collaboration,False
177,9,File Sharing,false,general,False
178,9,Comments/Mentions,false,collaboration,False
179,9,Templates,true,general,True
180,9,Calendar View,true,general,True
